Temp,Humi,Date&Time
 32.5¡æ, 67.3%RH,2020-02-04 12:00:21
 32.5¡æ, 67.3%RH,2020-02-04 12:00:26
 32.5¡æ, 67.3%RH,2020-02-04 12:00:31
 32.5¡æ, 67.3%RH,2020-02-04 12:00:36
 32.5¡æ, 67.4%RH,2020-02-04 12:00:41
 32.5¡æ, 67.4%RH,2020-02-04 12:00:46
 32.5¡æ, 67.5%RH,2020-02-04 12:00:51
 32.5¡æ, 67.5%RH,2020-02-04 12:00:56
 32.5¡æ, 67.5%RH,2020-02-04 12:01:01
 32.5¡æ, 67.5%RH,2020-02-04 12:01:06
 32.5¡æ, 67.6%RH,2020-02-04 12:01:11
 32.6¡æ, 67.6%RH,2020-02-04 12:01:16
 32.6¡æ, 67.6%RH,2020-02-04 12:01:21
 32.6¡æ, 67.6%RH,2020-02-04 12:01:26
 32.6¡æ, 67.5%RH,2020-02-04 12:01:31
 32.6¡æ, 67.5%RH,2020-02-04 12:01:36
 32.6¡æ, 67.5%RH,2020-02-04 12:01:41
 32.6¡æ, 67.5%RH,2020-02-04 12:01:46
 32.6¡æ, 67.5%RH,2020-02-04 12:01:51
 32.6¡æ, 67.5%RH,2020-02-04 12:01:56
 32.6¡æ, 67.4%RH,2020-02-04 12:02:01
 32.6¡æ, 67.4%RH,2020-02-04 12:02:06
 32.6¡æ, 67.4%RH,2020-02-04 12:02:11
 32.6¡æ, 67.4%RH,2020-02-04 12:02:16
 32.6¡æ, 67.4%RH,2020-02-04 12:02:21
 32.6¡æ, 67.3%RH,2020-02-04 12:02:26
 32.6¡æ, 67.3%RH,2020-02-04 12:02:31
 32.6¡æ, 67.3%RH,2020-02-04 12:02:36
 32.6¡æ, 67.3%RH,2020-02-04 12:02:41
 32.6¡æ, 67.2%RH,2020-02-04 12:02:46
 32.6¡æ, 67.2%RH,2020-02-04 12:02:51
 32.7¡æ, 67.2%RH,2020-02-04 12:02:56
 32.7¡æ, 67.2%RH,2020-02-04 12:03:01
 32.7¡æ, 67.2%RH,2020-02-04 12:03:06
 32.7¡æ, 67.2%RH,2020-02-04 12:03:11
 32.7¡æ, 67.1%RH,2020-02-04 12:03:16
 32.7¡æ, 67.1%RH,2020-02-04 12:03:21
 32.7¡æ, 67.1%RH,2020-02-04 12:03:26
 32.7¡æ, 67.1%RH,2020-02-04 12:03:31
 32.7¡æ, 67.0%RH,2020-02-04 12:03:36
 32.7¡æ, 67.0%RH,2020-02-04 12:03:41
 32.7¡æ, 67.0%RH,2020-02-04 12:03:46
 32.7¡æ, 67.0%RH,2020-02-04 12:03:51
 32.7¡æ, 67.0%RH,2020-02-04 12:03:56
 32.7¡æ, 67.0%RH,2020-02-04 12:04:01
 32.7¡æ, 67.0%RH,2020-02-04 12:04:06
 32.7¡æ, 67.0%RH,2020-02-04 12:04:11
 32.7¡æ, 67.0%RH,2020-02-04 12:04:16
 32.7¡æ, 67.0%RH,2020-02-04 12:04:21
 32.7¡æ, 67.0%RH,2020-02-04 12:04:26
 32.7¡æ, 67.0%RH,2020-02-04 12:04:31
 32.7¡æ, 67.0%RH,2020-02-04 12:04:36
 32.7¡æ, 66.9%RH,2020-02-04 12:04:41
 32.7¡æ, 66.9%RH,2020-02-04 12:04:46
 32.7¡æ, 66.9%RH,2020-02-04 12:04:51
 32.7¡æ, 66.9%RH,2020-02-04 12:04:56
 32.7¡æ, 66.9%RH,2020-02-04 12:05:01
 32.7¡æ, 66.9%RH,2020-02-04 12:05:06
 32.7¡æ, 66.9%RH,2020-02-04 12:05:11
 32.8¡æ, 66.9%RH,2020-02-04 12:05:16
 32.8¡æ, 67.0%RH,2020-02-04 12:05:21
 32.8¡æ, 67.0%RH,2020-02-04 12:05:26
 32.8¡æ, 67.0%RH,2020-02-04 12:05:31
 32.8¡æ, 67.0%RH,2020-02-04 12:05:36
 32.8¡æ, 67.0%RH,2020-02-04 12:05:41
 32.8¡æ, 67.0%RH,2020-02-04 12:05:46
 32.8¡æ, 67.0%RH,2020-02-04 12:05:51
 32.8¡æ, 66.9%RH,2020-02-04 12:05:56
 32.8¡æ, 66.9%RH,2020-02-04 12:06:01
 32.8¡æ, 66.9%RH,2020-02-04 12:06:06
 32.8¡æ, 66.9%RH,2020-02-04 12:06:11
 32.8¡æ, 66.9%RH,2020-02-04 12:06:16
 32.8¡æ, 66.9%RH,2020-02-04 12:06:21
 32.8¡æ, 66.8%RH,2020-02-04 12:06:26
 32.8¡æ, 66.8%RH,2020-02-04 12:06:31
 32.8¡æ, 66.8%RH,2020-02-04 12:06:36
 32.8¡æ, 66.8%RH,2020-02-04 12:06:41
 32.8¡æ, 66.8%RH,2020-02-04 12:06:46
 32.8¡æ, 66.7%RH,2020-02-04 12:06:51
 32.8¡æ, 66.7%RH,2020-02-04 12:06:56
 32.8¡æ, 66.7%RH,2020-02-04 12:07:01
 32.8¡æ, 66.6%RH,2020-02-04 12:07:06
 32.8¡æ, 66.6%RH,2020-02-04 12:07:11
 32.8¡æ, 66.6%RH,2020-02-04 12:07:16
 32.8¡æ, 66.6%RH,2020-02-04 12:07:21
 32.9¡æ, 66.6%RH,2020-02-04 12:07:26
 32.9¡æ, 66.5%RH,2020-02-04 12:07:31
 32.9¡æ, 66.5%RH,2020-02-04 12:07:36
 32.9¡æ, 66.5%RH,2020-02-04 12:07:41
 32.9¡æ, 66.5%RH,2020-02-04 12:07:46
 32.9¡æ, 66.5%RH,2020-02-04 12:07:51
 32.9¡æ, 66.5%RH,2020-02-04 12:07:56
 32.9¡æ, 66.4%RH,2020-02-04 12:08:01
 32.9¡æ, 66.4%RH,2020-02-04 12:08:06
 32.9¡æ, 66.4%RH,2020-02-04 12:08:11
 32.9¡æ, 66.4%RH,2020-02-04 12:08:16
 32.9¡æ, 66.4%RH,2020-02-04 12:08:21
 32.9¡æ, 66.4%RH,2020-02-04 12:08:26
 32.9¡æ, 66.3%RH,2020-02-04 12:08:31
 32.9¡æ, 66.3%RH,2020-02-04 12:08:36
 32.9¡æ, 66.3%RH,2020-02-04 12:08:41
 32.9¡æ, 66.3%RH,2020-02-04 12:08:46
 32.9¡æ, 66.3%RH,2020-02-04 12:08:51
 32.9¡æ, 66.2%RH,2020-02-04 12:08:56
 32.9¡æ, 66.2%RH,2020-02-04 12:09:01
 32.9¡æ, 66.2%RH,2020-02-04 12:09:06
 32.9¡æ, 66.2%RH,2020-02-04 12:09:11
 32.9¡æ, 66.2%RH,2020-02-04 12:09:16
 32.9¡æ, 66.1%RH,2020-02-04 12:09:21
 32.9¡æ, 66.1%RH,2020-02-04 12:09:26
 32.9¡æ, 66.1%RH,2020-02-04 12:09:31
 32.9¡æ, 66.1%RH,2020-02-04 12:09:36
 32.9¡æ, 66.1%RH,2020-02-04 12:09:41
 33.0¡æ, 66.1%RH,2020-02-04 12:09:46
 33.0¡æ, 66.1%RH,2020-02-04 12:09:51
 33.0¡æ, 66.0%RH,2020-02-04 12:09:56
 33.0¡æ, 66.0%RH,2020-02-04 12:10:01
 33.0¡æ, 66.0%RH,2020-02-04 12:10:06
 33.0¡æ, 66.0%RH,2020-02-04 12:10:11
 33.0¡æ, 66.0%RH,2020-02-04 12:10:16
 33.0¡æ, 66.0%RH,2020-02-04 12:10:21
 33.0¡æ, 66.0%RH,2020-02-04 12:10:26
 33.0¡æ, 66.0%RH,2020-02-04 12:10:31
 33.0¡æ, 66.0%RH,2020-02-04 12:10:36
 33.0¡æ, 65.9%RH,2020-02-04 12:10:41
 33.0¡æ, 65.9%RH,2020-02-04 12:10:46
 33.0¡æ, 65.9%RH,2020-02-04 12:10:51
 33.0¡æ, 65.9%RH,2020-02-04 12:10:56
 33.0¡æ, 65.9%RH,2020-02-04 12:11:01
 33.0¡æ, 65.9%RH,2020-02-04 12:11:06
 33.0¡æ, 65.9%RH,2020-02-04 12:11:11
 33.0¡æ, 65.8%RH,2020-02-04 12:11:16
 33.0¡æ, 65.8%RH,2020-02-04 12:11:21
 33.0¡æ, 65.8%RH,2020-02-04 12:11:26
 33.0¡æ, 65.8%RH,2020-02-04 12:11:31
 33.0¡æ, 65.8%RH,2020-02-04 12:11:36
 33.1¡æ, 65.7%RH,2020-02-04 12:11:41
 33.1¡æ, 65.7%RH,2020-02-04 12:11:46
 33.1¡æ, 65.7%RH,2020-02-04 12:11:51
 33.1¡æ, 65.7%RH,2020-02-04 12:11:56
 33.1¡æ, 65.7%RH,2020-02-04 12:12:01
 33.1¡æ, 65.7%RH,2020-02-04 12:12:06
 33.1¡æ, 65.7%RH,2020-02-04 12:12:11
 33.1¡æ, 65.7%RH,2020-02-04 12:12:16
 33.1¡æ, 65.7%RH,2020-02-04 12:12:21
 33.1¡æ, 65.7%RH,2020-02-04 12:12:26
 33.1¡æ, 65.7%RH,2020-02-04 12:12:31
 33.1¡æ, 65.6%RH,2020-02-04 12:12:36
 33.1¡æ, 65.6%RH,2020-02-04 12:12:41
 33.1¡æ, 65.6%RH,2020-02-04 12:12:46
 33.1¡æ, 65.6%RH,2020-02-04 12:12:51
 33.1¡æ, 65.6%RH,2020-02-04 12:12:56
 33.1¡æ, 65.5%RH,2020-02-04 12:13:01
 33.1¡æ, 65.5%RH,2020-02-04 12:13:06
 33.1¡æ, 65.5%RH,2020-02-04 12:13:11
 33.1¡æ, 65.5%RH,2020-02-04 12:13:16
 33.1¡æ, 65.5%RH,2020-02-04 12:13:21
 33.1¡æ, 65.4%RH,2020-02-04 12:13:26
 33.1¡æ, 65.4%RH,2020-02-04 12:13:31
 33.1¡æ, 65.4%RH,2020-02-04 12:13:36
 33.1¡æ, 65.4%RH,2020-02-04 12:13:41
 33.2¡æ, 65.4%RH,2020-02-04 12:13:46
 33.2¡æ, 65.4%RH,2020-02-04 12:13:51
 33.2¡æ, 65.3%RH,2020-02-04 12:13:56
 33.2¡æ, 65.3%RH,2020-02-04 12:14:01
 33.2¡æ, 65.3%RH,2020-02-04 12:14:06
 33.2¡æ, 65.3%RH,2020-02-04 12:14:11
 33.2¡æ, 65.2%RH,2020-02-04 12:14:16
 33.2¡æ, 65.2%RH,2020-02-04 12:14:21
 33.2¡æ, 65.2%RH,2020-02-04 12:14:26
 33.2¡æ, 65.2%RH,2020-02-04 12:14:31
 33.2¡æ, 65.1%RH,2020-02-04 12:14:36
 33.2¡æ, 65.1%RH,2020-02-04 12:14:41
 33.2¡æ, 65.1%RH,2020-02-04 12:14:46
 33.2¡æ, 65.1%RH,2020-02-04 12:14:51
 33.2¡æ, 65.1%RH,2020-02-04 12:14:56
 33.2¡æ, 65.0%RH,2020-02-04 12:15:01
 33.2¡æ, 65.0%RH,2020-02-04 12:15:06
 33.2¡æ, 65.0%RH,2020-02-04 12:15:11
 33.2¡æ, 65.0%RH,2020-02-04 12:15:16
 33.2¡æ, 65.0%RH,2020-02-04 12:15:21
 33.2¡æ, 65.0%RH,2020-02-04 12:15:26
 33.2¡æ, 65.0%RH,2020-02-04 12:15:31
 33.2¡æ, 64.9%RH,2020-02-04 12:15:36
 33.2¡æ, 64.9%RH,2020-02-04 12:15:41
 33.2¡æ, 64.9%RH,2020-02-04 12:15:46
 33.2¡æ, 64.9%RH,2020-02-04 12:15:51
 33.2¡æ, 64.9%RH,2020-02-04 12:15:56
 33.3¡æ, 64.8%RH,2020-02-04 12:16:01
 33.3¡æ, 64.8%RH,2020-02-04 12:16:06
