ID,SHOW,STATE,TIME
"525" ,"596" ,"NOMAL" ,"2023/05/05 20:32:31" 
"526" ,"596" ,"NOMAL" ,"2023/05/05 20:33:02" 
"527" ,"597" ,"NOMAL" ,"2023/05/05 20:33:33" 
"528" ,"592" ,"NOMAL" ,"2023/05/05 20:34:04" 
"529" ,"595" ,"NOMAL" ,"2023/05/05 20:34:35" 
"530" ,"593" ,"NOMAL" ,"2023/05/05 20:35:06" 
"531" ,"597" ,"NOMAL" ,"2023/05/05 20:35:37" 
"532" ,"599" ,"NOMAL" ,"2023/05/05 20:36:08" 
"533" ,"597" ,"NOMAL" ,"2023/05/05 20:36:39" 
"534" ,"594" ,"NOMAL" ,"2023/05/05 20:37:10" 
"535" ,"594" ,"NOMAL" ,"2023/05/05 20:37:41" 
"536" ,"595" ,"NOMAL" ,"2023/05/05 20:38:12" 
"537" ,"594" ,"NOMAL" ,"2023/05/05 20:38:43" 
"538" ,"592" ,"NOMAL" ,"2023/05/05 20:39:14" 
"539" ,"598" ,"NOMAL" ,"2023/05/05 20:39:45" 
"540" ,"598" ,"NOMAL" ,"2023/05/05 20:40:16" 
"541" ,"596" ,"NOMAL" ,"2023/05/05 20:40:47" 
"542" ,"596" ,"NOMAL" ,"2023/05/05 20:41:18" 
"543" ,"596" ,"NOMAL" ,"2023/05/05 20:41:49" 
"544" ,"595" ,"NOMAL" ,"2023/05/05 20:42:20" 
"545" ,"594" ,"NOMAL" ,"2023/05/05 20:42:51" 
"546" ,"604" ,"NOMAL" ,"2023/05/05 20:43:22" 
"547" ,"610" ,"NOMAL" ,"2023/05/05 20:43:53" 
"548" ,"604" ,"NOMAL" ,"2023/05/05 20:44:24" 
"549" ,"600" ,"NOMAL" ,"2023/05/05 20:44:55" 
"550" ,"599" ,"NOMAL" ,"2023/05/05 20:45:26" 
"551" ,"600" ,"NOMAL" ,"2023/05/05 20:45:57" 
"552" ,"600" ,"NOMAL" ,"2023/05/05 20:46:28" 
"553" ,"593" ,"NOMAL" ,"2023/05/05 20:46:59" 
"554" ,"593" ,"NOMAL" ,"2023/05/05 20:47:30" 
"555" ,"598" ,"NOMAL" ,"2023/05/05 20:48:01" 
"556" ,"598" ,"NOMAL" ,"2023/05/05 20:48:32" 
"557" ,"596" ,"NOMAL" ,"2023/05/05 20:49:03" 
"558" ,"595" ,"NOMAL" ,"2023/05/05 20:49:34" 
"559" ,"596" ,"NOMAL" ,"2023/05/05 20:50:05" 
"560" ,"594" ,"NOMAL" ,"2023/05/05 20:50:36" 
"561" ,"595" ,"NOMAL" ,"2023/05/05 20:51:07" 
"562" ,"595" ,"NOMAL" ,"2023/05/05 20:51:38" 
"563" ,"594" ,"NOMAL" ,"2023/05/05 20:52:09" 
"564" ,"595" ,"NOMAL" ,"2023/05/05 20:52:40" 
"565" ,"595" ,"NOMAL" ,"2023/05/05 20:53:11" 
"566" ,"594" ,"NOMAL" ,"2023/05/05 20:53:42" 
"567" ,"596" ,"NOMAL" ,"2023/05/05 20:54:13" 
"568" ,"596" ,"NOMAL" ,"2023/05/05 20:54:44" 
"569" ,"596" ,"NOMAL" ,"2023/05/05 20:55:15" 
"570" ,"602" ,"NOMAL" ,"2023/05/05 20:55:46" 
"571" ,"601" ,"NOMAL" ,"2023/05/05 20:56:17" 
"572" ,"602" ,"NOMAL" ,"2023/05/05 20:56:48" 
"573" ,"601" ,"NOMAL" ,"2023/05/05 20:57:19" 
"574" ,"599" ,"NOMAL" ,"2023/05/05 20:57:50" 
"575" ,"600" ,"NOMAL" ,"2023/05/05 20:58:21" 
"576" ,"600" ,"NOMAL" ,"2023/05/05 20:58:52" 
"577" ,"606" ,"NOMAL" ,"2023/05/05 20:59:23" 
"578" ,"604" ,"NOMAL" ,"2023/05/05 20:59:54" 
"579" ,"602" ,"NOMAL" ,"2023/05/05 21:00:25" 
"580" ,"603" ,"NOMAL" ,"2023/05/05 21:00:56" 
"581" ,"600" ,"NOMAL" ,"2023/05/05 21:01:27" 
"582" ,"596" ,"NOMAL" ,"2023/05/05 21:01:58" 
"583" ,"596" ,"NOMAL" ,"2023/05/05 21:02:29" 
"584" ,"598" ,"NOMAL" ,"2023/05/05 21:03:00" 
"585" ,"599" ,"NOMAL" ,"2023/05/05 21:03:31" 
"586" ,"594" ,"NOMAL" ,"2023/05/05 21:04:02" 
"587" ,"595" ,"NOMAL" ,"2023/05/05 21:04:33" 
"588" ,"597" ,"NOMAL" ,"2023/05/05 21:05:04" 
"589" ,"598" ,"NOMAL" ,"2023/05/05 21:05:35" 
"590" ,"599" ,"NOMAL" ,"2023/05/05 21:06:06" 
"591" ,"600" ,"NOMAL" ,"2023/05/05 21:06:37" 
"592" ,"597" ,"NOMAL" ,"2023/05/05 21:07:08" 
"593" ,"599" ,"NOMAL" ,"2023/05/05 21:07:39" 
"594" ,"601" ,"NOMAL" ,"2023/05/05 21:08:10" 
"595" ,"600" ,"NOMAL" ,"2023/05/05 21:08:41" 
"596" ,"601" ,"NOMAL" ,"2023/05/05 21:09:12" 
"597" ,"599" ,"NOMAL" ,"2023/05/05 21:09:43" 
"598" ,"599" ,"NOMAL" ,"2023/05/05 21:10:14" 
"599" ,"600" ,"NOMAL" ,"2023/05/05 21:10:45" 
"600" ,"597" ,"NOMAL" ,"2023/05/05 21:11:16" 
"601" ,"598" ,"NOMAL" ,"2023/05/05 21:11:47" 
"602" ,"597" ,"NOMAL" ,"2023/05/05 21:12:18" 
"603" ,"597" ,"NOMAL" ,"2023/05/05 21:12:49" 
"604" ,"599" ,"NOMAL" ,"2023/05/05 21:13:20" 
"605" ,"598" ,"NOMAL" ,"2023/05/05 21:13:51" 
"606" ,"597" ,"NOMAL" ,"2023/05/05 21:14:22" 
"607" ,"597" ,"NOMAL" ,"2023/05/05 21:14:53" 
"608" ,"597" ,"NOMAL" ,"2023/05/05 21:15:24" 
"609" ,"598" ,"NOMAL" ,"2023/05/05 21:15:55" 
"610" ,"597" ,"NOMAL" ,"2023/05/05 21:16:26" 
"611" ,"597" ,"NOMAL" ,"2023/05/05 21:16:57" 
"612" ,"598" ,"NOMAL" ,"2023/05/05 21:17:28" 
"613" ,"596" ,"NOMAL" ,"2023/05/05 21:17:59" 
"614" ,"597" ,"NOMAL" ,"2023/05/05 21:18:30" 
"615" ,"596" ,"NOMAL" ,"2023/05/05 21:19:01" 
"616" ,"596" ,"NOMAL" ,"2023/05/05 21:19:32" 
"617" ,"598" ,"NOMAL" ,"2023/05/05 21:20:03" 
"618" ,"596" ,"NOMAL" ,"2023/05/05 21:20:34" 
"619" ,"597" ,"NOMAL" ,"2023/05/05 21:21:05" 
"620" ,"597" ,"NOMAL" ,"2023/05/05 21:21:36" 
"621" ,"597" ,"NOMAL" ,"2023/05/05 21:22:07" 
"622" ,"598" ,"NOMAL" ,"2023/05/05 21:22:38" 
"623" ,"600" ,"NOMAL" ,"2023/05/05 21:23:09" 
"624" ,"599" ,"NOMAL" ,"2023/05/05 21:23:40" 
"625" ,"597" ,"NOMAL" ,"2023/05/05 21:24:11" 
"626" ,"598" ,"NOMAL" ,"2023/05/05 21:24:42" 
"627" ,"597" ,"NOMAL" ,"2023/05/05 21:25:13" 
"628" ,"598" ,"NOMAL" ,"2023/05/05 21:25:44" 
