STATE,SHOW,UNIT,TIME
    NORM,748,       PPM,29/06/2023 08:00
    NORM,748,       PPM,29/06/2023 08:00
    NORM,741,       PPM,29/06/2023 08:00
    NORM,730,       PPM,29/06/2023 08:00
    NORM,721,       PPM,29/06/2023 08:00
    NORM,719,       PPM,29/06/2023 08:00
    NORM,723,       PPM,29/06/2023 08:00
    NORM,730,       PPM,29/06/2023 08:00
    NORM,733,       PPM,29/06/2023 08:00
    NORM,731,       PPM,29/06/2023 08:01
    NORM,725,       PPM,29/06/2023 08:01
    NORM,719,       PPM,29/06/2023 08:01
    NORM,714,       PPM,29/06/2023 08:01
    NORM,713,       PPM,29/06/2023 08:01
    NORM,715,       PPM,29/06/2023 08:01
    NORM,720,       PPM,29/06/2023 08:01
    NORM,723,       PPM,29/06/2023 08:01
    NORM,725,       PPM,29/06/2023 08:01
    NORM,726,       PPM,29/06/2023 08:01
    NORM,727,       PPM,29/06/2023 08:01
    NORM,729,       PPM,29/06/2023 08:01
    NORM,730,       PPM,29/06/2023 08:02
    NORM,731,       PPM,29/06/2023 08:02
    NORM,732,       PPM,29/06/2023 08:02
    NORM,737,       PPM,29/06/2023 08:02
    NORM,747,       PPM,29/06/2023 08:02
    NORM,763,       PPM,29/06/2023 08:02
    NORM,778,       PPM,29/06/2023 08:02
    NORM,789,       PPM,29/06/2023 08:02
    NORM,798,       PPM,29/06/2023 08:02
    NORM,816,       PPM,29/06/2023 08:02
    NORM,831,       PPM,29/06/2023 08:02
    NORM,844,       PPM,29/06/2023 08:02
    NORM,852,       PPM,29/06/2023 08:03
    NORM,855,       PPM,29/06/2023 08:03
    NORM,854,       PPM,29/06/2023 08:03
    NORM,837,       PPM,29/06/2023 08:03
    NORM,797,       PPM,29/06/2023 08:03
    NORM,773,       PPM,29/06/2023 08:03
    NORM,752,       PPM,29/06/2023 08:03
    NORM,737,       PPM,29/06/2023 08:03
    NORM,724,       PPM,29/06/2023 08:03
    NORM,711,       PPM,29/06/2023 08:03
    NORM,703,       PPM,29/06/2023 08:03
    NORM,699,       PPM,29/06/2023 08:03
    NORM,702,       PPM,29/06/2023 08:04
    NORM,714,       PPM,29/06/2023 08:04
    NORM,728,       PPM,29/06/2023 08:04
    NORM,739,       PPM,29/06/2023 08:04
    NORM,744,       PPM,29/06/2023 08:04
    NORM,746,       PPM,29/06/2023 08:04
    NORM,747,       PPM,29/06/2023 08:04
    NORM,747,       PPM,29/06/2023 08:04
    NORM,748,       PPM,29/06/2023 08:04
    NORM,748,       PPM,29/06/2023 08:04
    NORM,747,       PPM,29/06/2023 08:04
    NORM,744,       PPM,29/06/2023 08:04
    NORM,740,       PPM,29/06/2023 08:05
    NORM,735,       PPM,29/06/2023 08:05
    NORM,729,       PPM,29/06/2023 08:05
    NORM,720,       PPM,29/06/2023 08:05
    NORM,712,       PPM,29/06/2023 08:05
    NORM,706,       PPM,29/06/2023 08:05
    NORM,703,       PPM,29/06/2023 08:05
