ID,SHOW,STATE,TIME
"1" ,"0" ,"NOMAL" ,"2023/05/01 02:59:14" 
"2" ,"0" ,"NOMAL" ,"2023/05/01 02:59:45" 
"3" ,"0" ,"NOMAL" ,"2023/05/01 03:00:16" 
"4" ,"0" ,"NOMAL" ,"2023/05/01 03:00:47" 
"5" ,"0" ,"NOMAL" ,"2023/05/01 03:01:18" 
"6" ,"0" ,"NOMAL" ,"2023/05/01 03:01:49" 
"7" ,"0" ,"NOMAL" ,"2023/05/01 03:02:20" 
"8" ,"12" ,"NOMAL" ,"2023/05/01 03:02:51" 
"9" ,"0" ,"NOMAL" ,"2023/05/01 03:03:22" 
"10" ,"0" ,"NOMAL" ,"2023/05/01 03:03:53" 
"11" ,"0" ,"NOMAL" ,"2023/05/01 03:04:24" 
"12" ,"0" ,"NOMAL" ,"2023/05/01 03:04:55" 
"13" ,"22" ,"NOMAL" ,"2023/05/01 03:05:26" 
"14" ,"0" ,"NOMAL" ,"2023/05/01 03:05:57" 
"15" ,"0" ,"NOMAL" ,"2023/05/01 03:06:28" 
"16" ,"0" ,"NOMAL" ,"2023/05/01 03:06:59" 
"17" ,"0" ,"NOMAL" ,"2023/05/01 03:07:30" 
"18" ,"0" ,"NOMAL" ,"2023/05/01 03:08:01" 
"19" ,"198" ,"HIGH ALARM" ,"2023/05/01 03:08:32" 
"20" ,"0" ,"NOMAL" ,"2023/05/01 03:09:03" 
"21" ,"0" ,"INV" ,"2023/05/01 03:09:34" 
"22" ,"0" ,"NOMAL" ,"2023/05/01 03:10:05" 
"23" ,"44" ,"NOMAL" ,"2023/05/01 03:10:36" 
"24" ,"24" ,"NOMAL" ,"2023/05/01 03:11:07" 
"25" ,"0" ,"NOMAL" ,"2023/05/01 03:11:38" 
"26" ,"0" ,"NOMAL" ,"2023/05/01 03:12:09" 
"27" ,"0" ,"NOMAL" ,"2023/05/01 03:12:40" 
"28" ,"0" ,"NOMAL" ,"2023/05/01 03:13:11" 
"29" ,"0" ,"NOMAL" ,"2023/05/01 03:13:42" 
"30" ,"0" ,"NOMAL" ,"2023/05/01 03:14:13" 
"31" ,"0" ,"NOMAL" ,"2023/05/01 03:14:44" 
"32" ,"0" ,"NOMAL" ,"2023/05/01 03:15:15" 
"33" ,"0" ,"NOMAL" ,"2023/05/01 03:15:46" 
"34" ,"0" ,"NOMAL" ,"2023/05/01 03:16:17" 
"35" ,"0" ,"NOMAL" ,"2023/05/01 03:16:48" 
"36" ,"0" ,"NOMAL" ,"2023/05/01 03:17:19" 
"37" ,"0" ,"NOMAL" ,"2023/05/01 03:17:50" 
"38" ,"0" ,"NOMAL" ,"2023/05/01 03:18:21" 
"39" ,"0" ,"NOMAL" ,"2023/05/01 03:18:52" 
"40" ,"0" ,"NOMAL" ,"2023/05/01 03:19:23" 
"41" ,"0" ,"NOMAL" ,"2023/05/01 03:19:54" 
"42" ,"0" ,"NOMAL" ,"2023/05/01 03:20:25" 
"43" ,"0" ,"NOMAL" ,"2023/05/01 03:20:56" 
"44" ,"0" ,"NOMAL" ,"2023/05/01 03:21:27" 
"45" ,"0" ,"NOMAL" ,"2023/05/01 03:21:58" 
"46" ,"0" ,"NOMAL" ,"2023/05/01 03:22:29" 
"47" ,"0" ,"NOMAL" ,"2023/05/01 03:23:00" 
"48" ,"0" ,"NOMAL" ,"2023/05/01 03:23:31" 
"49" ,"0" ,"NOMAL" ,"2023/05/01 03:24:02" 
"50" ,"0" ,"NOMAL" ,"2023/05/01 03:24:33" 
