ID,SHOW,STATE,TIME
"400" ,"671" ,"NOMAL" ,"2023/05/01 02:59:14" 
"401" ,"659" ,"NOMAL" ,"2023/05/01 02:59:45" 
"402" ,"619" ,"NOMAL" ,"2023/05/01 03:00:16" 
"403" ,"612" ,"NOMAL" ,"2023/05/01 03:00:47" 
"404" ,"613" ,"NOMAL" ,"2023/05/01 03:01:18" 
"405" ,"608" ,"NOMAL" ,"2023/05/01 03:01:49" 
"406" ,"609" ,"NOMAL" ,"2023/05/01 03:02:20" 
"407" ,"614" ,"NOMAL" ,"2023/05/01 03:02:51" 
"408" ,"617" ,"NOMAL" ,"2023/05/01 03:03:22" 
"409" ,"611" ,"NOMAL" ,"2023/05/01 03:03:53" 
"410" ,"608" ,"NOMAL" ,"2023/05/01 03:04:24" 
"411" ,"609" ,"NOMAL" ,"2023/05/01 03:04:55" 
"412" ,"607" ,"NOMAL" ,"2023/05/01 03:05:26" 
"413" ,"607" ,"NOMAL" ,"2023/05/01 03:05:57" 
"414" ,"609" ,"NOMAL" ,"2023/05/01 03:06:28" 
"415" ,"607" ,"NOMAL" ,"2023/05/01 03:06:59" 
"416" ,"608" ,"NOMAL" ,"2023/05/01 03:07:30" 
"417" ,"609" ,"NOMAL" ,"2023/05/01 03:08:01" 
"418" ,"614" ,"NOMAL" ,"2023/05/01 03:08:32" 
"419" ,"625" ,"NOMAL" ,"2023/05/01 03:09:03" 
"420" ,"626" ,"NOMAL" ,"2023/05/01 03:09:34" 
"421" ,"619" ,"NOMAL" ,"2023/05/01 03:10:05" 
"422" ,"613" ,"NOMAL" ,"2023/05/01 03:10:36" 
"423" ,"614" ,"NOMAL" ,"2023/05/01 03:11:07" 
"424" ,"619" ,"NOMAL" ,"2023/05/01 03:11:38" 
"425" ,"611" ,"NOMAL" ,"2023/05/01 03:12:09" 
"426" ,"609" ,"NOMAL" ,"2023/05/01 03:12:40" 
"427" ,"607" ,"NOMAL" ,"2023/05/01 03:13:11" 
"428" ,"608" ,"NOMAL" ,"2023/05/01 03:13:42" 
"429" ,"607" ,"NOMAL" ,"2023/05/01 03:14:13" 
"430" ,"609" ,"NOMAL" ,"2023/05/01 03:14:44" 
"431" ,"607" ,"NOMAL" ,"2023/05/01 03:15:15" 
"432" ,"609" ,"NOMAL" ,"2023/05/01 03:15:46" 
"433" ,"607" ,"NOMAL" ,"2023/05/01 03:16:17" 
"434" ,"609" ,"NOMAL" ,"2023/05/01 03:16:48" 
"435" ,"609" ,"NOMAL" ,"2023/05/01 03:17:19" 
"436" ,"609" ,"NOMAL" ,"2023/05/01 03:17:50" 
"437" ,"609" ,"NOMAL" ,"2023/05/01 03:18:21" 
"438" ,"610" ,"NOMAL" ,"2023/05/01 03:18:52" 
"439" ,"607" ,"NOMAL" ,"2023/05/01 03:19:23" 
"440" ,"608" ,"NOMAL" ,"2023/05/01 03:19:54" 
"441" ,"609" ,"NOMAL" ,"2023/05/01 03:20:25" 
"442" ,"608" ,"NOMAL" ,"2023/05/01 03:20:56" 
"443" ,"608" ,"NOMAL" ,"2023/05/01 03:21:27" 
"444" ,"610" ,"NOMAL" ,"2023/05/01 03:21:58" 
"445" ,"610" ,"NOMAL" ,"2023/05/01 03:22:29" 
"446" ,"609" ,"NOMAL" ,"2023/05/01 03:23:00" 
"447" ,"608" ,"NOMAL" ,"2023/05/01 03:23:31" 
"448" ,"612" ,"NOMAL" ,"2023/05/01 03:24:02" 
"449" ,"613" ,"NOMAL" ,"2023/05/01 03:24:33" 
"450" ,"616" ,"NOMAL" ,"2023/05/01 03:25:04" 
"451" ,"618" ,"NOMAL" ,"2023/05/01 03:25:35" 
"452" ,"623" ,"NOMAL" ,"2023/05/01 03:26:06" 
"453" ,"619" ,"NOMAL" ,"2023/05/01 03:26:37" 
