STATE,SHOW,UNIT,TIME
    NULL,0,       PPM,29/06/2023 08:00
    NULL,0,       PPM,29/06/2023 08:00
    NULL,0,       PPM,29/06/2023 08:00
    NULL,0,       PPM,29/06/2023 08:00
    NULL,0,       PPM,29/06/2023 08:00
    NULL,0,       PPM,29/06/2023 08:00
    NORM,0,       PPM,29/06/2023 08:00
    NORM,0,       PPM,29/06/2023 08:00
    NORM,0,       PPM,29/06/2023 08:00
    NORM,21,       PPM,29/06/2023 08:01
     LOW,108,       PPM,29/06/2023 08:01
    HIGH,195,       PPM,29/06/2023 08:01
    HIGH,275,       PPM,29/06/2023 08:01
    HIGH,345,       PPM,29/06/2023 08:01
    HIGH,368,       PPM,29/06/2023 08:01
    HIGH,347,       PPM,29/06/2023 08:01
    HIGH,308,       PPM,29/06/2023 08:01
    HIGH,241,       PPM,29/06/2023 08:01
    NORM,46,       PPM,29/06/2023 08:01
    NORM,0,       PPM,29/06/2023 08:01
    NULL,0,       PPM,29/06/2023 08:01
    NULL,0,       PPM,29/06/2023 08:02
    NULL,0,       PPM,29/06/2023 08:02
    NORM,0,       PPM,29/06/2023 08:02
    NORM,0,       PPM,29/06/2023 08:02
    NORM,0,       PPM,29/06/2023 08:02
    NORM,0,       PPM,29/06/2023 08:02
    NULL,0,       PPM,29/06/2023 08:02
    NULL,0,       PPM,29/06/2023 08:02
    NULL,0,       PPM,29/06/2023 08:02
    NULL,0,       PPM,29/06/2023 08:02
    NULL,0,       PPM,29/06/2023 08:02
    NULL,0,       PPM,29/06/2023 08:02
    NORM,0,       PPM,29/06/2023 08:03
    HIGH,328,       PPM,29/06/2023 08:03
    HIGH,743,       PPM,29/06/2023 08:03
    OVER,1000,       PPM,29/06/2023 08:03
    OVER,1000,       PPM,29/06/2023 08:03
    OVER,1000,       PPM,29/06/2023 08:03
    OVER,1000,       PPM,29/06/2023 08:03
    OVER,1000,       PPM,29/06/2023 08:03
    OVER,1000,       PPM,29/06/2023 08:03
    OVER,1000,       PPM,29/06/2023 08:03
    OVER,1000,       PPM,29/06/2023 08:03
    NULL,1670,       PPM,29/06/2023 08:03
    OVER,1000,       PPM,29/06/2023 08:04
    OVER,1000,       PPM,29/06/2023 08:04
    OVER,1000,       PPM,29/06/2023 08:04
    OVER,1000,       PPM,29/06/2023 08:04
    OVER,1000,       PPM,29/06/2023 08:04
    NULL,1670,       PPM,29/06/2023 08:04
    NULL,1670,       PPM,29/06/2023 08:04
    NULL,1670,       PPM,29/06/2023 08:04
    NULL,1670,       PPM,29/06/2023 08:04
    NULL,1670,       PPM,29/06/2023 08:04
    NULL,1670,       PPM,29/06/2023 08:04
    NULL,1670,       PPM,29/06/2023 08:04
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:05
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:06
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:07
    OVER,1000,       PPM,29/06/2023 08:08
    OVER,1000,       PPM,29/06/2023 08:08
    OVER,1000,       PPM,29/06/2023 08:08
    OVER,1000,       PPM,29/06/2023 08:08
    HIGH,892,       PPM,29/06/2023 08:08
    HIGH,766,       PPM,29/06/2023 08:08
    HIGH,662,       PPM,29/06/2023 08:08
    HIGH,522,       PPM,29/06/2023 08:08
    HIGH,402,       PPM,29/06/2023 08:08
    HIGH,368,       PPM,29/06/2023 08:08
    HIGH,403,       PPM,29/06/2023 08:08
    HIGH,331,       PPM,29/06/2023 08:08
    HIGH,247,       PPM,29/06/2023 08:09
    HIGH,178,       PPM,29/06/2023 08:09
     LOW,83,       PPM,29/06/2023 08:09
    NORM,0,       PPM,29/06/2023 08:09
    NORM,0,       PPM,29/06/2023 08:09
    NORM,0,       PPM,29/06/2023 08:09
    NORM,0,       PPM,29/06/2023 08:09
     LOW,92,       PPM,29/06/2023 08:09
    HIGH,153,       PPM,29/06/2023 08:09
    NORM,32,       PPM,29/06/2023 08:09
    NORM,0,       PPM,29/06/2023 08:09
    NULL,0,       PPM,29/06/2023 08:09
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:10
    NULL,0,       PPM,29/06/2023 08:11
    NULL,0,       PPM,29/06/2023 08:11
    NULL,0,       PPM,29/06/2023 08:11
    NULL,0,       PPM,29/06/2023 08:11
    NULL,0,       PPM,29/06/2023 08:11
    NULL,0,       PPM,29/06/2023 08:11
    NULL,0,       PPM,29/06/2023 08:11
    NULL,0,       PPM,29/06/2023 08:11
    NULL,0,       PPM,29/06/2023 08:11
    NORM,0,       PPM,29/06/2023 08:11
     LOW,56,       PPM,29/06/2023 08:11
    HIGH,197,       PPM,29/06/2023 08:11
    HIGH,312,       PPM,29/06/2023 08:12
    HIGH,502,       PPM,29/06/2023 08:12
    HIGH,628,       PPM,29/06/2023 08:12
    HIGH,650,       PPM,29/06/2023 08:12
    HIGH,644,       PPM,29/06/2023 08:12
    HIGH,648,       PPM,29/06/2023 08:12
    HIGH,642,       PPM,29/06/2023 08:12
    HIGH,287,       PPM,29/06/2023 08:12
     LOW,58,       PPM,29/06/2023 08:12
    NORM,0,       PPM,29/06/2023 08:12
    NORM,0,       PPM,29/06/2023 08:12
    NULL,0,       PPM,29/06/2023 08:12
    NULL,0,       PPM,29/06/2023 08:13
    NULL,0,       PPM,29/06/2023 08:13
    NULL,0,       PPM,29/06/2023 08:13
    NULL,0,       PPM,29/06/2023 08:13
    NULL,0,       PPM,29/06/2023 08:13
    NULL,0,       PPM,29/06/2023 08:13
    NULL,0,       PPM,29/06/2023 08:13
    NULL,0,       PPM,29/06/2023 08:13
    NULL,0,       PPM,29/06/2023 08:13
    NULL,0,       PPM,29/06/2023 08:13
    HIGH,934,       PPM,29/06/2023 08:13
    NULL,1670,       PPM,29/06/2023 08:13
    NULL,1670,       PPM,29/06/2023 08:14
    NULL,1670,       PPM,29/06/2023 08:14
    NULL,1670,       PPM,29/06/2023 08:14
    NULL,1670,       PPM,29/06/2023 08:14
    NULL,1670,       PPM,29/06/2023 08:14
    NULL,1670,       PPM,29/06/2023 08:14
    NULL,1670,       PPM,29/06/2023 08:14
    OVER,1000,       PPM,29/06/2023 08:14
    OVER,1000,       PPM,29/06/2023 08:14
    OVER,1000,       PPM,29/06/2023 08:14
    HIGH,908,       PPM,29/06/2023 08:14
    HIGH,543,       PPM,29/06/2023 08:14
    HIGH,376,       PPM,29/06/2023 08:15
    HIGH,273,       PPM,29/06/2023 08:15
    HIGH,217,       PPM,29/06/2023 08:15
    HIGH,218,       PPM,29/06/2023 08:15
    HIGH,216,       PPM,29/06/2023 08:15
    HIGH,205,       PPM,29/06/2023 08:15
    HIGH,171,       PPM,29/06/2023 08:15
    HIGH,158,       PPM,29/06/2023 08:15
    HIGH,166,       PPM,29/06/2023 08:15
    HIGH,208,       PPM,29/06/2023 08:15
    HIGH,219,       PPM,29/06/2023 08:15
    HIGH,213,       PPM,29/06/2023 08:15
    HIGH,203,       PPM,29/06/2023 08:16
    HIGH,247,       PPM,29/06/2023 08:16
    HIGH,348,       PPM,29/06/2023 08:16
    HIGH,295,       PPM,29/06/2023 08:16
