PM2.5,PM10,Date&Time
  13mg/m3,  17mg/m3,2020-02-04 12:09:26
  12mg/m3,  17mg/m3,2020-02-04 12:09:31
  12mg/m3,  17mg/m3,2020-02-04 12:09:36
  13mg/m3,  17mg/m3,2020-02-04 12:09:41
  13mg/m3,  16mg/m3,2020-02-04 12:09:46
  14mg/m3,  16mg/m3,2020-02-04 12:09:51
  14mg/m3,  18mg/m3,2020-02-04 12:09:56
  13mg/m3,  17mg/m3,2020-02-04 12:10:01
  12mg/m3,  14mg/m3,2020-02-04 12:10:06
  12mg/m3,  14mg/m3,2020-02-04 12:10:11
  11mg/m3,  13mg/m3,2020-02-04 12:10:16
  11mg/m3,  13mg/m3,2020-02-04 12:10:21
  10mg/m3,  11mg/m3,2020-02-04 12:10:26
  11mg/m3,  12mg/m3,2020-02-04 12:10:31
  11mg/m3,  13mg/m3,2020-02-04 12:10:36
  11mg/m3,  12mg/m3,2020-02-04 12:10:41
  11mg/m3,  12mg/m3,2020-02-04 12:10:46
  12mg/m3,  13mg/m3,2020-02-04 12:10:51
  12mg/m3,  13mg/m3,2020-02-04 12:10:56
  13mg/m3,  14mg/m3,2020-02-04 12:11:01
  12mg/m3,  13mg/m3,2020-02-04 12:11:06
  13mg/m3,  14mg/m3,2020-02-04 12:11:11
  11mg/m3,  12mg/m3,2020-02-04 12:11:16
  15mg/m3,  16mg/m3,2020-02-04 12:11:21
  16mg/m3,  19mg/m3,2020-02-04 12:11:26
  17mg/m3,  21mg/m3,2020-02-04 12:11:31
  17mg/m3,  19mg/m3,2020-02-04 12:11:36
  17mg/m3,  20mg/m3,2020-02-04 12:11:41
  13mg/m3,  17mg/m3,2020-02-04 12:11:46
  12mg/m3,  14mg/m3,2020-02-04 12:11:51
  11mg/m3,  15mg/m3,2020-02-04 12:11:56
  13mg/m3,  19mg/m3,2020-02-04 12:12:01
  15mg/m3,  20mg/m3,2020-02-04 12:12:06
  15mg/m3,  20mg/m3,2020-02-04 12:12:11
  14mg/m3,  18mg/m3,2020-02-04 12:12:16
  16mg/m3,  18mg/m3,2020-02-04 12:12:21
