PM2.5,PM10,Date&Time
 210mg/m3, 268mg/m3,2020-02-06 07:58:03
 258mg/m3, 344mg/m3,2020-02-06 07:58:07
 115mg/m3, 143mg/m3,2020-02-06 07:58:17
  38mg/m3,  47mg/m3,2020-02-06 08:00:18
  39mg/m3,  50mg/m3,2020-02-06 08:00:23
  36mg/m3,  46mg/m3,2020-02-06 08:00:28
  38mg/m3,  49mg/m3,2020-02-06 08:00:33
  45mg/m3,  61mg/m3,2020-02-06 08:00:38
  42mg/m3,  55mg/m3,2020-02-06 08:00:43
  37mg/m3,  47mg/m3,2020-02-06 08:00:48
  35mg/m3,  47mg/m3,2020-02-06 08:00:53
  33mg/m3,  44mg/m3,2020-02-06 08:00:58
  35mg/m3,  48mg/m3,2020-02-06 08:01:03
  35mg/m3,  47mg/m3,2020-02-06 08:01:05
  33mg/m3,  47mg/m3,2020-02-06 08:01:08
  33mg/m3,  44mg/m3,2020-02-06 08:01:13
  31mg/m3,  39mg/m3,2020-02-06 08:01:18
  31mg/m3,  38mg/m3,2020-02-06 08:01:23
  29mg/m3,  35mg/m3,2020-02-06 08:01:28
  31mg/m3,  35mg/m3,2020-02-06 08:01:33
  31mg/m3,  38mg/m3,2020-02-06 08:01:38
  38mg/m3,  45mg/m3,2020-02-06 08:01:43
  38mg/m3,  44mg/m3,2020-02-06 08:01:48
  39mg/m3,  46mg/m3,2020-02-06 08:01:53
  37mg/m3,  44mg/m3,2020-02-06 08:01:58
  37mg/m3,  46mg/m3,2020-02-06 08:02:03
  37mg/m3,  45mg/m3,2020-02-06 08:02:08
  37mg/m3,  46mg/m3,2020-02-06 08:02:13
  38mg/m3,  46mg/m3,2020-02-06 08:02:18
  39mg/m3,  50mg/m3,2020-02-06 08:02:23
  40mg/m3,  50mg/m3,2020-02-06 08:02:28
  35mg/m3,  42mg/m3,2020-02-06 08:02:33
  38mg/m3,  52mg/m3,2020-02-06 08:02:38
  39mg/m3,  56mg/m3,2020-02-06 08:02:43
  37mg/m3,  50mg/m3,2020-02-06 08:02:48
  36mg/m3,  49mg/m3,2020-02-06 08:02:53
  36mg/m3,  48mg/m3,2020-02-06 08:02:58
  37mg/m3,  48mg/m3,2020-02-06 08:03:03
  34mg/m3,  45mg/m3,2020-02-06 08:03:05
  37mg/m3,  49mg/m3,2020-02-06 08:03:08
  32mg/m3,  40mg/m3,2020-02-06 08:03:13
  30mg/m3,  36mg/m3,2020-02-06 08:03:18
  42mg/m3,  59mg/m3,2020-02-06 08:03:23
  46mg/m3,  64mg/m3,2020-02-06 08:03:28
