Temp,Humi,Date&Time
 30.2¡æ, 95.3%RH,2020-02-06 07:58:03
 30.6¡æ, 97.6%RH,2020-02-06 07:58:07
 29.5¡æ, 88.7%RH,2020-02-06 07:58:17
 29.6¡æ, 80.4%RH,2020-02-06 08:00:18
 29.6¡æ, 80.1%RH,2020-02-06 08:00:23
 29.6¡æ, 80.4%RH,2020-02-06 08:00:28
 29.6¡æ, 80.3%RH,2020-02-06 08:00:33
 29.6¡æ, 80.4%RH,2020-02-06 08:00:38
 29.6¡æ, 80.1%RH,2020-02-06 08:00:43
 29.7¡æ, 79.9%RH,2020-02-06 08:00:48
 29.7¡æ, 79.8%RH,2020-02-06 08:00:53
 29.7¡æ, 79.6%RH,2020-02-06 08:00:58
 29.7¡æ, 79.4%RH,2020-02-06 08:01:03
 29.7¡æ, 79.4%RH,2020-02-06 08:01:05
 29.7¡æ, 79.3%RH,2020-02-06 08:01:08
 29.8¡æ, 79.1%RH,2020-02-06 08:01:13
 29.8¡æ, 79.0%RH,2020-02-06 08:01:18
 29.8¡æ, 78.8%RH,2020-02-06 08:01:23
 29.8¡æ, 78.7%RH,2020-02-06 08:01:28
 29.8¡æ, 78.6%RH,2020-02-06 08:01:33
 29.9¡æ, 78.5%RH,2020-02-06 08:01:38
 29.9¡æ, 78.5%RH,2020-02-06 08:01:43
 29.9¡æ, 78.4%RH,2020-02-06 08:01:48
 29.9¡æ, 78.3%RH,2020-02-06 08:01:53
 29.9¡æ, 78.3%RH,2020-02-06 08:01:58
 30.0¡æ, 78.2%RH,2020-02-06 08:02:03
 30.0¡æ, 78.0%RH,2020-02-06 08:02:08
 30.0¡æ, 77.9%RH,2020-02-06 08:02:13
 30.0¡æ, 77.8%RH,2020-02-06 08:02:18
 30.0¡æ, 77.7%RH,2020-02-06 08:02:23
 30.1¡æ, 77.6%RH,2020-02-06 08:02:28
 30.1¡æ, 77.5%RH,2020-02-06 08:02:33
 30.1¡æ, 77.4%RH,2020-02-06 08:02:38
 30.1¡æ, 77.3%RH,2020-02-06 08:02:43
 30.2¡æ, 77.2%RH,2020-02-06 08:02:48
 30.2¡æ, 77.2%RH,2020-02-06 08:02:53
 30.2¡æ, 77.1%RH,2020-02-06 08:02:58
 30.2¡æ, 77.0%RH,2020-02-06 08:03:03
 30.2¡æ, 77.1%RH,2020-02-06 08:03:05
 30.2¡æ, 77.1%RH,2020-02-06 08:03:08
 30.3¡æ, 77.0%RH,2020-02-06 08:03:13
 30.3¡æ, 76.9%RH,2020-02-06 08:03:18
 30.3¡æ, 76.9%RH,2020-02-06 08:03:23
 30.3¡æ, 76.8%RH,2020-02-06 08:03:28
 30.3¡æ, 76.8%RH,2020-02-06 08:03:33
 30.3¡æ, 76.7%RH,2020-02-06 08:03:38
 30.4¡æ, 76.7%RH,2020-02-06 08:03:43
 30.4¡æ, 76.6%RH,2020-02-06 08:03:48
 30.4¡æ, 76.5%RH,2020-02-06 08:03:53
 30.4¡æ, 76.4%RH,2020-02-06 08:03:58
 30.5¡æ, 76.4%RH,2020-02-06 08:04:01
 30.5¡æ, 76.4%RH,2020-02-06 08:04:03
 30.5¡æ, 76.4%RH,2020-02-06 08:04:08
 30.5¡æ, 76.3%RH,2020-02-06 08:04:13
 30.5¡æ, 76.3%RH,2020-02-06 08:04:18
 30.5¡æ, 76.3%RH,2020-02-06 08:04:23
 30.5¡æ, 76.2%RH,2020-02-06 08:04:28
 30.6¡æ, 76.2%RH,2020-02-06 08:04:33
 30.6¡æ, 76.2%RH,2020-02-06 08:04:38
 30.6¡æ, 76.1%RH,2020-02-06 08:04:43
 30.6¡æ, 76.0%RH,2020-02-06 08:04:48
 30.6¡æ, 76.0%RH,2020-02-06 08:04:53
 30.6¡æ, 76.0%RH,2020-02-06 08:04:58
 30.7¡æ, 75.9%RH,2020-02-06 08:05:00
 30.7¡æ, 75.9%RH,2020-02-06 08:05:03
 30.7¡æ, 75.8%RH,2020-02-06 08:05:08
 30.7¡æ, 75.8%RH,2020-02-06 08:05:13
 30.7¡æ, 75.7%RH,2020-02-06 08:05:18
 30.7¡æ, 75.7%RH,2020-02-06 08:05:23
 30.8¡æ, 75.6%RH,2020-02-06 08:05:28
 30.8¡æ, 75.5%RH,2020-02-06 08:05:33
 30.8¡æ, 75.5%RH,2020-02-06 08:05:38
 30.8¡æ, 75.4%RH,2020-02-06 08:05:43
 30.8¡æ, 75.4%RH,2020-02-06 08:05:48
 30.8¡æ, 75.3%RH,2020-02-06 08:05:53
 30.9¡æ, 75.3%RH,2020-02-06 08:05:58
 30.9¡æ, 75.2%RH,2020-02-06 08:06:03
 30.9¡æ, 75.1%RH,2020-02-06 08:06:08
 30.9¡æ, 75.1%RH,2020-02-06 08:06:13
 30.9¡æ, 75.0%RH,2020-02-06 08:06:18
 30.9¡æ, 75.0%RH,2020-02-06 08:06:23
 30.9¡æ, 74.9%RH,2020-02-06 08:06:28
