STATE,SHOW,UNIT,TIME
    NORM,623,       PPM,23/05/2023 21:45
    NORM,641,       PPM,23/05/2023 21:46
    NORM,606,       PPM,23/05/2023 21:46
    NORM,600,       PPM,23/05/2023 21:47
    NORM,599,       PPM,23/05/2023 21:47
    NORM,597,       PPM,23/05/2023 21:48
    NORM,599,       PPM,23/05/2023 21:48
    NORM,600,       PPM,23/05/2023 21:49
    NORM,597,       PPM,23/05/2023 21:49
    NORM,599,       PPM,23/05/2023 21:50
    NORM,597,       PPM,23/05/2023 21:50
    NORM,595,       PPM,23/05/2023 21:51
    NORM,596,       PPM,23/05/2023 21:51
    NORM,595,       PPM,23/05/2023 21:52
    NORM,593,       PPM,23/05/2023 21:52
    NORM,595,       PPM,23/05/2023 21:53
    NORM,596,       PPM,23/05/2023 21:53
    NORM,596,       PPM,23/05/2023 21:54
    NORM,598,       PPM,23/05/2023 21:54
    NORM,597,       PPM,23/05/2023 21:55
    NORM,596,       PPM,23/05/2023 21:55
    NORM,599,       PPM,23/05/2023 21:56
    NORM,599,       PPM,23/05/2023 21:56
    NORM,601,       PPM,23/05/2023 21:57
    NORM,602,       PPM,23/05/2023 21:57
    NORM,601,       PPM,23/05/2023 21:58
    NORM,605,       PPM,23/05/2023 21:59
    NORM,606,       PPM,23/05/2023 21:59
    NORM,603,       PPM,23/05/2023 22:00
    NORM,602,       PPM,23/05/2023 22:00
    NORM,604,       PPM,23/05/2023 22:01
    NORM,603,       PPM,23/05/2023 22:01
    NORM,601,       PPM,23/05/2023 22:02
    NORM,603,       PPM,23/05/2023 22:02
    NORM,600,       PPM,23/05/2023 22:03
    NORM,602,       PPM,23/05/2023 22:03
    NORM,601,       PPM,23/05/2023 22:04
    NORM,603,       PPM,23/05/2023 22:04
    NORM,601,       PPM,23/05/2023 22:05
    NORM,600,       PPM,23/05/2023 22:05
    NORM,603,       PPM,23/05/2023 22:06
    NORM,601,       PPM,23/05/2023 22:06
    NORM,601,       PPM,23/05/2023 22:07
    NORM,599,       PPM,23/05/2023 22:07
    NORM,600,       PPM,23/05/2023 22:08
    NORM,603,       PPM,23/05/2023 22:08
    NORM,604,       PPM,23/05/2023 22:09
    NORM,608,       PPM,23/05/2023 22:09
    NORM,613,       PPM,23/05/2023 22:10
    NORM,608,       PPM,23/05/2023 22:10
    NORM,610,       PPM,23/05/2023 22:11
    NORM,604,       PPM,23/05/2023 22:11
    NORM,607,       PPM,23/05/2023 22:12
    NORM,605,       PPM,23/05/2023 22:12
    NORM,602,       PPM,23/05/2023 22:13
    NORM,604,       PPM,23/05/2023 22:14
    NORM,603,       PPM,23/05/2023 22:14
    NORM,605,       PPM,23/05/2023 22:15
    NORM,607,       PPM,23/05/2023 22:15
    NORM,601,       PPM,23/05/2023 22:16
    NORM,599,       PPM,23/05/2023 22:16
    NORM,598,       PPM,23/05/2023 22:17
    NORM,595,       PPM,23/05/2023 22:17
    NORM,600,       PPM,23/05/2023 22:18
    NORM,604,       PPM,23/05/2023 22:18
    NORM,604,       PPM,23/05/2023 22:19
    NORM,600,       PPM,23/05/2023 22:19
    NORM,606,       PPM,23/05/2023 22:20
    NORM,606,       PPM,23/05/2023 22:20
    NORM,601,       PPM,23/05/2023 22:21
    NORM,596,       PPM,23/05/2023 22:21
    NORM,597,       PPM,23/05/2023 22:22
    NORM,599,       PPM,23/05/2023 22:22
    NORM,598,       PPM,23/05/2023 22:23
    NORM,601,       PPM,23/05/2023 22:23
    NORM,596,       PPM,23/05/2023 22:24
    NORM,601,       PPM,23/05/2023 22:24
    NORM,602,       PPM,23/05/2023 22:25
    NORM,602,       PPM,23/05/2023 22:25
    NORM,604,       PPM,23/05/2023 22:26
    NORM,605,       PPM,23/05/2023 22:26
    NORM,599,       PPM,23/05/2023 22:27
    NORM,597,       PPM,23/05/2023 22:27
    NORM,600,       PPM,23/05/2023 22:28
    NORM,606,       PPM,23/05/2023 22:28
    NORM,605,       PPM,23/05/2023 22:29
    NORM,607,       PPM,23/05/2023 22:30
    NORM,612,       PPM,23/05/2023 22:30
    NORM,612,       PPM,23/05/2023 22:31
    NORM,605,       PPM,23/05/2023 22:31
    NORM,603,       PPM,23/05/2023 22:32
    NORM,603,       PPM,23/05/2023 22:32
    NORM,607,       PPM,23/05/2023 22:33
    NORM,606,       PPM,23/05/2023 22:33
    NORM,603,       PPM,23/05/2023 22:34
    NORM,620,       PPM,23/05/2023 22:34
    NORM,627,       PPM,23/05/2023 22:35
    NORM,607,       PPM,23/05/2023 22:35
    NORM,608,       PPM,23/05/2023 22:36
    NORM,608,       PPM,23/05/2023 22:36
    NORM,605,       PPM,23/05/2023 22:37
    NORM,609,       PPM,23/05/2023 22:37
    NORM,604,       PPM,23/05/2023 22:38
    NORM,613,       PPM,23/05/2023 22:38
    NORM,611,       PPM,23/05/2023 22:39
    NORM,604,       PPM,23/05/2023 22:39
    NORM,608,       PPM,23/05/2023 22:40
    NORM,602,       PPM,23/05/2023 22:40
    NORM,603,       PPM,23/05/2023 22:41
    NORM,603,       PPM,23/05/2023 22:41
    NORM,600,       PPM,23/05/2023 22:42
    NORM,598,       PPM,23/05/2023 22:42
    NORM,600,       PPM,23/05/2023 22:43
    NORM,609,       PPM,23/05/2023 22:43
    NORM,607,       PPM,23/05/2023 22:44
    NORM,607,       PPM,23/05/2023 22:45
